NumberOfEntries,EXT_Sum,EST_Sum,AGR_Sum,CSN_Sum,OPN_Sum,EXT_Var,EST_Var,AGR_Var,CSN_Var,OPN_Var,Country,EXT_Mean,EST_Mean,AGR_Mean,CSN_Mean,OPN_Mean,EXT_Std,EST_Std,AGR_Std,CSN_Std,OPN_Std
51,140,148,148,137,147,0,0,0,0,0,JE,2,2,2,2,2,0,0,0,0,0
44,117,108,125,116,121,0,0,0,0,0,KY,2,2,2,2,2,0,0,0,0,0
41,109,110,110,110,117,0,0,0,0,0,IM,2,2,2,2,2,0,0,0,0,0
41,113,108,113,112,120,0,0,0,0,0,AF,2,2,2,2,2,0,0,0,0,0
39,101,103,110,103,107,0,0,0,0,0,LA,2,2,2,2,2,0,0,0,0,0
35,94,100,100,101,99,0,0,0,0,0,KG,2,2,2,2,2,0,0,0,0,0
35,94,90,96,94,103,0,0,0,0,0,CW,2,2,2,2,2,0,0,0,0,0
33,85,87,92,88,95,0,0,0,0,0,GG,2,2,2,2,2,0,0,0,0,0
33,87,74,92,84,92,0,0,0,0,0,SR,2,2,2,2,2,0,0,0,0,0
32,81,84,86,86,89,0,0,0,0,0,BM,2,2,2,2,2,0,0,0,0,0
28,75,72,84,79,85,0,0,0,0,0,AW,2,2,3,2,3,0,0,0,0,0
27,71,75,77,69,80,0,0,0,0,0,LY,2,2,2,2,2,0,0,0,0,0
26,70,74,74,70,76,0,0,0,0,0,FJ,2,2,2,2,2,0,0,0,0,0
26,71,59,76,69,75,0,0,0,0,0,GY,2,2,2,2,2,0,0,0,0,0
25,66,73,67,70,68,0,0,0,0,0,UZ,2,2,2,2,2,0,0,0,0,0
24,62,60,67,71,68,0,0,0,0,0,RW,2,2,2,2,2,0,0,0,0,0
23,63,58,62,65,69,0,0,0,0,0,CM,2,2,2,2,3,0,0,0,0,0
23,64,64,65,64,68,0,0,0,0,0,FO,2,2,2,2,2,0,0,0,0,0
22,58,53,61,58,63,0,0,0,0,0,GI,2,2,2,2,2,0,0,0,0,0
